PC1,PC2,PC3,Time (ps),ΔGbind,ΔGbind_Coulomb,ΔGbind_Covalent,ΔGbind_Vander,ΔGbind_HBond,ΔGbind_Lipophilic,
-8.231279263,8.786389624,-28.20860312,21457.08583,-75.30892351,-25.50293281,-7.912814454,-54.98402359,-2.291707168,-28.62400774,
-14.49692963,14.24764085,-22.25945242,21556.88623,-72.16518228,-22.69668097,-3.427459124,-52.74146568,1.397762082,-27.48243916,
-15.62814929,20.17833049,-14.00560225,21656.68663,-76.60935803,-21.88030481,-7.728379314,-37.18897811,-1.990429673,-34.76858961,
-13.73788452,16.40564264,-13.4830083,21756.48703,-70.98132637,-17.67911271,-7.137852908,-56.09549422,-0.077389976,-28.67593081,
-20.18675437,14.8711364,-17.95288269,21856.28743,-80.69850429,-17.07507775,-5.8149842,-51.71074106,-1.692193878,-31.67998322,
-14.84672758,5.699200194,-18.28569201,21956.08782,-77.7806602,-18.6853062,-2.405515598,-41.39929143,-1.54941956,-29.89325783,
-5.936362084,12.74587911,-12.92246693,22055.88822,-74.88441103,-22.83460262,-3.834292431,-45.26960709,-2.226566833,-23.67387143,
-3.142121321,8.017741901,-18.65537741,22155.68862,-67.85912286,-14.4566672,-6.257320405,-47.51582469,0.608032197,-25.68961634,
-4.619977928,6.007236561,-22.91890051,22255.48902,-81.36316033,-16.48065422,-7.46633561,-48.64169242,-2.290046383,-29.09521832,
-6.743715353,1.25335318,-23.33023194,22355.28942,-70.07195483,-22.04020363,-6.4102306,-50.07000796,-2.833698483,-32.41419799,
-14.58561648,2.989918974,-14.39545218,22455.08982,-78.66151006,-19.91701466,-4.888456725,-40.74319595,-3.503784372,-39.75017323,
-22.22610189,17.11984015,-11.10467304,22554.89022,-77.62091187,-16.98992567,-6.550887045,-57.60007714,-3.156879607,-28.22370372,
-7.543694448,-1.808016301,-19.73129136,22654.69062,-81.86284005,-17.78653573,-6.230984169,-40.90673347,-0.173143008,-28.037343,
-13.82101084,8.373185682,-10.57836105,22754.49102,-72.92164259,-10.70728271,-7.986370987,-56.16055881,-3.095168844,-33.07053417,
-1.166020115,8.713221485,-16.22574088,22854.29142,-68.35782716,-17.29033329,-1.327403573,-42.88517138,-1.205137402,-28.61501048,
-10.29231924,0.528786019,-16.96196419,22954.09182,-79.22242416,-18.96426842,-5.268730042,-46.78576266,-0.076324821,-28.37371271,
-10.19981746,9.766981606,-13.07953744,23053.89222,-76.2284495,-19.52307436,-4.721996617,-54.92619084,-0.748546622,-31.26848789,
-13.9008898,5.728485479,-18.28961154,23153.69261,-67.0990001,-24.15833159,-4.348196667,-49.65175048,-1.537231597,-20.73519114,
-23.6406797,8.080965003,-23.13609207,23253.49301,-70.66795789,-15.4350083,-7.065321812,-55.30384605,-1.86627152,-28.76621898,
-24.60575476,17.03922984,-18.78984377,23353.29341,-71.17474286,-18.67142474,-6.638573311,-46.02708297,-3.048827919,-31.00015235,
-9.43171644,-4.155859342,-22.75709195,23453.09381,-75.76412452,-22.71170824,-1.928744655,-51.86514707,-3.661528161,-32.24466049,
-13.63237548,4.820728797,-20.11150249,23552.89421,-75.27263972,-23.92129608,-5.125531696,-41.95919328,-2.637910159,-28.44776954,
-8.029047718,7.860783233,-19.04815967,23652.69461,-59.8821281,-13.80332977,-0.96153848,-43.65295944,-0.916196668,-29.42683476,
-2.884576335,2.80432007,-17.84010212,23752.49501,-68.07741321,-22.67395163,-4.212064579,-48.0828219,-2.907175978,-25.64940893,
-14.4925361,4.829766161,-25.33828731,23852.29541,-76.5229852,-18.47724669,-4.444260323,-58.28820019,-0.889444044,-30.63148839,
-13.69261079,15.07170901,-18.16044822,23952.09581,-79.35639031,-30.53276627,-6.311020338,-44.33808245,-1.78154922,-30.88052497,
-5.809265574,4.610622858,-20.55364985,24051.89621,-73.43231295,-28.70488312,-4.201613498,-53.30755243,-1.694389987,-29.75646015,
-15.87031356,14.37207124,-20.51310165,24151.69661,-75.24101499,-27.00398378,-6.71587471,-47.69924423,-2.156071266,-28.60704908,
